gene	log2FC	FDR
CHCHD2P9	2.65627331056911	1.49610193320574e-72
RPL7AP4	2.44125631016473	2.93549221336822e-72
AC023512.1	2.90718646502352	3.0750621286624e-72
AC005165.2	2.58165905634492	3.3621232318352e-72
RPL15P1	2.9955391490295	4.72586175918225e-72
AC108734.1	3.09580166593121	5.3329079792862e-72
AP001024.1	2.40071842923617	8.3293074766587e-72
AC021016.1	2.0690840033616	1.00934301570488e-71
AC005832.4	2.6055778168096	1.04758328980957e-71
RPSAP7	3.03519141149918	1.20775628151022e-71
ELOBP1	3.03156304665943	1.60413783841549e-71
AL353678.1	2.84430241036163	2.07407528759644e-71
UBA52P7	3.00601781438759	2.16555736461675e-71
AC016691.1	2.99195216163152	2.81393585112131e-71
AC104619.1	2.95823917694952	2.93370898162124e-71
RPS15AP28	3.17542865196239	3.18858851872544e-71
AL138693.1	2.12207281400989	4.380065222133e-71
AC092183.1	3.1516244001747	6.26952304226201e-71
UBBP3	3.17696235748163	7.02505062044066e-71
RPS8P4	2.31432690172548	9.05790215943093e-71
VEGFA	2.5967899490214	9.43785261204039e-71
GAPDHP14	2.52973516512881	1.11444389786069e-70
PTMAP8	2.05458067760651	1.14300516365217e-70
RPLP0P11	3.09736409551682	1.20400830179352e-70
EEF1A1P41	3.10356064710852	1.42603547143031e-70
TPT1P10	2.54111833159558	2.59754096233059e-70
GAPDHP37	2.29287274516495	8.51976436500323e-70
AL008718.1	3.05346640833334	9.8951920588623e-70
TAGLN2P1	2.54205904418769	1.34094620001079e-69
PIK3CD-AS2	2.2239518473038	2.05547334131393e-69
SMIM25	2.48100474155823	2.53190901467368e-69
PPIAP88	3.02902763065946	3.16015249629951e-69
AC003071.1	3.17127633824929	4.08237675735051e-69
RPS4XP7	2.58573563673116	4.1552905882761e-69
AC002367.1	2.46724234979471	4.39016267273151e-69
COL1A2	2.83596623469477	6.89977583812482e-69
AC004884.1	2.9378550177473	1.22316975216281e-68
PLP2	2.2432470298803	1.83645956703395e-68
